P00001606T0076|14 50|alkaline phosphatases and 5-nucleotidase
P01714902A0221|100 106|CD3 zeta
P01714902A0221|39 82|Ti alpha-beta CD3 gamma delta epsilon TCR complexes
P01715975A0885|17 20|CYP1
P01716292A0000|186 192|DR alpha
P01716292A0000|35 41|HLA-DR1
P01716292A0000|144 168|recombinant DRB/H-2Eb genes
P01716292A0000|195 203|H-2E alpha
P01716629A0000|39 76|extracellular matrix glycoprotein undulin
P01717718A1255|132 139|PR domain
P01717833A1223|3 22|alpha inhibin promoter
P01717833A1223|102 112|CREB protein
P01717833T0000|15 30|alpha inhibin gene
P01718043A0384|48 58|PMN elastase
P01720843A1506|51 77|angiotensin converting enzyme
P01721884A0962|180 191|E. coli RNase H
P01721884A0962|62 84|retroviral ribonuclease H
P01721884A0962|86 91|RNase H
P01721884A0962|255 260|RNase H
P01721884A0962|207 218|Pol I helices O
P01722319A0849|49 61|CHIP28 protein
P01723962A0165|13 23|serum lipase
P01724982A0237|27 37|anti-C100-3
P01730412T0000|39 43|c-Myc
P01731107A0928|44 52|ICR2 motif
P01731933T0000a|33 47|T4 gene 32 protein
P01731933T0000b|33 47|T4 gene 32 protein
P01731979A1408|79 107|CaMV 35S domain B enhancer element
P01732736A1076|37 42|Oct-25
P01732736A1076|22 35|POU-domain gene
P01732752A0156|74 79|LT mRNA
P01734020A1318|147 154|PKC alpha
P01734283A0817|27 38|RAP74 protein
P01734570T0000|9 29|thromboxane synthetase
P01735347A0482|84 95|plasma lipase
P01735447A0271|74 90|pre-super-pro-PrB
P01735447A0833|93 95|PrB
P01735721A0185|144 169|cryptic B. subtilis TyrTS gene
P01736093A0731|14 16|CAT
P01737741A0000|29 44|monoamine oxidase
P01740437A0851|3 24|major 49-kDa core protein
P01742606A0000|1 29|mouse brain beta-spectrin of cDNA
P01744119A0757|16 42|primase recognition sequences
P01744119A0757|144 161|63-kDa gene 4 protein
P01748292A0000|37 56|G protein alpha subunit
P01748630A0125|59 63|c-Myc
P01748630A0125|165 173|Myc family
P01752441A0000|118 123|TAR RNA
P01752441A0000|30 44|HIV-1 Tat protein
P01754381A0000|220 227|pol alpha
P01754381A0000|188 218|DNA polymerase alpha catalytic core
P01757341A0591|127 145|alkaline phosphatase
P01762914A1218|9 19|uPA promoter
P01765095A0680|127 134|myogenin
P01765266A0000|34 73|elongation factor 1-alpha variant EF-1 alpha O
P01765375A0290|163 180|clathrin heavy chain
P01766666A0788|27 62|rNFIL-6 disrupt nucleoprotein complexes
P01766876A0000|49 64|mu heavy chain gene
P01767899A0136|91 104|thromboplastin
P01767899A0136|34 48|serum fibrinogen
P01767899A0136|61 71|prothrombin
P01772341A0852|45 65|thromboxane synthetase
P01774062A0257|32 44|HLA-DQA1 locus
P01774063A0161|170 176|B2M loci
P01774063A0161|114 131|thrombospondin gene
P01774063A0161|163 165|Ltk
P01774063A0161|152 155|Fshb
P01779433A0694|180 183|Alu 3
P01780235A0094|3 5|EPO
P01783088A1136|126 136|fibronectin
P01784589A0000|41 53|5-HT2 receptor
P01791754T0000|92 116|Escherichia coli haemolysin
P01806314A0322|98 102|actin
P01808136T0000|27 46|coagulation factor XII
P01811948A0289|85 100|LpS1 beta promoter
P01822995T0000|0 16|Maize rbcS promoter
P01824713A0964|3 15|12S E1A product
P01824713A0964|65 69|c-jun
P01824944A0988|104 106|IgE
P01826003A0694|70 79|beta TG gene
P01826003A0694|57 65|SIG family
P01826043A0431|132 164|cyclic AMP-dependent protein kinases
P01826043A0431|3 23|pp90rsk-protein kinase
P01826043A0431|178 197|protein kinase C family
P01827068T0000|0 10|Human GATA-3
P01827068T0000|81 102|T cell receptor alpha gene
P01828248A0189|15 25|UvrA protein
P01828248A0189|145 152|helicase
P01828248A0189|42 52|UvrB protein
P01829460A0329|68 80|kappa B element
P01830114A1587|52 64|P4 transcripts
P01830114A1587|24 26|NS1
P01832152A0902|47 50|ORF1
P01832197T0001|9 26|D2 dopamine receptor
P01833637A0531|155 163|HSP82 gene
P01837787T0000|3 18|murine Mov-34 gene
P01837842A1410|0 3|CREB
P01840513A1019|116 147|chloramphenicol acetyltransferase
P01842498A0000|76 93|phytohemagglutinin
P01844017A0410|48 81|glucose-6-phosphatase dehydrogenase
P01844878A0000|43 74|neomycin phosphotransferase II gene
P01844982A0324|72 87|rheumatoid factor
P01845899A0000|56 60|Rep78
P01845899A0000|62 66|Rep68
P01845899A0000|68 72|Rep52
P01846489A1119|15 47|picornaviral 3C-like protease domain
P01846489A1119|54 79|papain-like protease domains
P01846491A0459|33 39|VV genes
P01846803A0688|63 75|p34cdc2 kinase
P01847665A1079|55 67|PDGF receptors
P01848300A0910|33 36|cstA
P01849509T0000|125 129|ISRm3
P01849734A1063|8 25|PR55 beta transcript
P01850096A0662|14 21|myogenin
P01850096A0662|122 139|cardiac alpha-actin
P01850096A0662|31 34|MyoD
P01850105A1093|50 54|c-myc
P01850105A1093|12 16|c-myc
P01850127A0000|19 25|U2 snRNP
P01851527T0000|36 72|Alzheimer beta-amyloid precursor protein
P01851862A0273|29 35|env gene
P01852603A0000|3 25|rad9.192 DNA repair mutant
P01853796T0000|55 61|insulin
P01855255T0000|42 45|RCC1
P01857326A0160|57 62|IBM-AT
P01860846A0663|3 11|human cDNA
P01860846A0663|49 60|factor-alpha
P01860846A0663|82 91|MARCKS gene
P01863768A0649|19 24|ORF113
P01863887A0174|135 141|insulin
P01863887A0174|157 170|erythropoietin
P01864510A0946|0 7|Dd PK1 RNA
P01864837A1029|72 86|mouse contrapsin
P01864837A1029|124 141|rat alpha 1-protease
P01869565A1254|0 2|USF
P01869565A1254|72 82|ADH promoter
P01870194A0302|0 30|Human immunodeficiency virus type 1
P01870428A0677|34 36|HDL
P01870428A0677|40 45|HDL2-C
P01870428A0677|61 63|LDL
P01871135A0295|130 148|rat liver glucokinase
P01874195A0139|167 180|tyrosine kinase
P01874195A0139|25 34|GH receptor
P01876836T0000|46 61|GA binding protein
P01878489A0959|80 91|NADPH oxidase
P01882386A0000|103 105|NaB
P01883992A0922|95 107|beta-zein gene
P01883992A0922|23 28|beta-1
P01885613A1298|90 101|collagen gene
P01885613A1298|77 85|pro alpha 1
P01886774A0000|33 36|Oct3
P01895384A0746|3 16|IE0 gene product
P01895384A0746|38 48|IE1 promoter
P01895393A0745|125 148|RNA polymerase III promoter
P01895393A0745|50 57|Sp1 sites
P01895393A0745|60 67|Sp1 sites
P01898928A0260|110 131|Escherichia coli fur gene
P01899409T0000a|83 119|recombinant tissue plasminogen activator
P01900194T0000|19 55|mitochondrial NADH-ubiquinone reductase
P01900194T0000|60 91|bacterial NAD-reducing hydrogenase
P01901405A0694|42 47|AT-BP2
P01901405A0694|33 38|AT-BP1
P01901946A0243|56 77|mouse c-fos gene promoter
P01901950T0000|76 89|mouse c-fos gene
P01904154A0164|69 74|Ig loci
P01904437A0000|18 25|metH gene
P01904437A0000|93 107|metR gene product
P01904546A0671|15 33|chromosomal AAR1 gene
P01905199A0210|66 68|ADR
P01906509A0072|49 64|human nidogen gene
P01907941A0275|31 42|I kappa B alpha
P01907941A0275|13 23|I kappa B beta
P01907941A0275|77 86|kappa B site
P01909027A0922|169 192|hepatocyte nuclear factors
P01909027A0922|124 156|Drosophila homeotic protein fork head
P01909027A0922|194 198|HNF-3
P01913955A0177|376 388|type 1 collagen
P01913955A0177|354 361|collagen
P01915580A0889|23 28|NZ-107
P01916405A0242|93 94|PC
P01917943A0621a|185 224|chloramphenicol acetyltransferase reporter
P01917943A0621a|21 49|sMtCK genomic upstream sequences
P01917943A0621b|185 224|chloramphenicol acetyltransferase reporter
P01917943A0621b|21 49|sMtCK genomic upstream sequences
P01917962A0152|28 45|immunoglobulin gene
P01917962A0152|109 124|human IL-2R L chain
P01917962A0152|168 179|SV40 promoter
P01918010A0000|0 16|Lipoprotein lipase
P01918010A1730|84 94|LPL promoter
P01918070A0281|46 53|T3R alpha
P01918070A0281|30 44|T3 receptor alpha
P01918073A0150|149 166|dual protein kinase A
P01918073A0150|597 620|protein kinase C target site
P01918073A0150|348 356|troponin C
P01918073A0150|417 419|TnI
P01922082A0149|15 30|mouse TSH beta gene
P01923803A0609|37 57|SsoL12 protein sequence
P01924315A0158|76 79|SOD1
P01925092A0304|86 111|tissue plasminogen activator
P01930470A0337|44 46|PTH
P01930660T0000|0 24|Insulin-like growth factor 1
P01930660T0000|26 30|IGF-1
P01931966A0490|44 49|pADPRP
P01931966A0490|8 16|ubiquitin
P01936997A0795|51 57|TRP-185
P01936997A0795|89 94|TAR RNA
P01939199A0588|0 20|Recombinant human TFIID
P01954355A0997|45 47|TNF
P01954355A0997|38 41|IL-1
P01963438T0000|31 41|cytochrome c
P01967130A0645|16 23|EFIA cDNA
P01968156T0000|21 34|botulinum toxin
P01968224A0119|187 207|human PCNA polypeptides
P01968224A0119|150 163|Drosophila PCNA
P01970801A0925|51 61|OSBP defines
P01970801A0925|39 42|Ly-1
P01972379T0042|42 79|Syrian hamster multifunctional protein CAD
P01977585A0222|121 147|cAMP-dependent protein kinase
P01978834A0076|86 112|rabbit H,K-ATPase beta subunit
P01978857A0504|53 55|CD4
P01982061T0000|47 66|Syrian hamster CAD gene
P01982997A1104|174 178|c-Fos
P01982997A1104|182 191|Jun-B mRNAs
P01982997A1104|13 46|immediate-early transcription factor
P01982997A1104|130 138|c-Jun mRNA
P01984665T0000|59 96|truncated dengue-2 virus envelope proteins
P01985920A0156|78 99|rat SCP2 protein sequence
P01985920A0156|151 169|SCP2 protein sequence
P01985920T0000|42 75|rat liver sterol carrier protein 2 cDNAs
P01985924A0554|188 200|pol II delta 4/7
P01985924A0554|80 94|pol II holoenzyme
P01986225A0250|31 33|HSF
P01986241A0117|85 92|CUP1 gene
P01986241A0117|20 34|ACE1 gene product
P01986360A0000|19 57|interferon response element binding factors
P01986360A0000|166 218|oligoadenylate synthetase gene interferon response element
P01989999A0000|0 25|Adenylosuccinate synthetase
P01989999A0000|54 62|EC 6.3.4.4
P01989999A0000|31 47|L-aspartate ligase
P01990266A0678|46 50|UHF-1
P01992459A0000|59 88|human immunodeficiency virus mRNA
P01992459A0000|97 114|Rev response element
P01992459A0000|122 144|virus-encoded protein Rev
P01992953T0000|0 22|Alanine aminotransferase
P01993181T0000|31 76|Pseudomonas putida PpG7 salicylate hydroxylase gene
P01995951A0000|114 116|Sp1
P01997465A0276|58 65|collagen
P02002051T0000|0 12|Isoform C beta 2
P02002051T0000|56 82|cAMP-dependent protein kinase
P02002511A0637|21 25|PB-PK
P02004705A0686|3 14|cdr1 sequence
P02010912A0366|129 142|pulCp promoters
P02011924A0729|82 90|alpha-IFN
P02016053A0752|33 43|E74A protein
P02019572A0000|59 80|rat liver pyruvate kinase
P02019572A0000|82 85|L-PK
P02019572A0000|122 166|chloramphenicol acetyltransferase reporter genes
P02019572A0000|235 249|L-PK gene cap site
P02020314A1290|29 34|GM-CSF
P02022188A0112|38 47|BJ1 protein
P02022188A0112|156 180|high mobility group proteins
P02022920A0334|3 15|C4BP alpha gene
P02023097A0000|41 50|Rev protein
P02023421A0343|36 43|collagen
P02023904A0120|3 10|CDC7 gene
P02024488A0506|67 74|HIV-1 LTR
P02024488A0506|33 39|nef gene
P02024816A0521|43 46|SP-A
P02024816A0521|24 41|surfactant protein A
P02026144A0741|17 19|GUS
P02026144A0741|78 81|NRS1
P02026147A0000|123 147|mammalian type II CaM kinases
P02026147A0000|55 63|CaM kinase
P02029468A0296|5 7|TNF
P02030910A0000|28 40|human ETS1 gene
P02030910A1070|33 40|ETS1 cDNA
P02033038A0309|18 36|human E3 polypeptides
P02033062A1169|69 82|chicken IGF-I 5'
P02034655A1224|3 12|alpha 4 gene
P02034655T0000|21 46|alpha 4 integrin gene promoter
P02034676A0267|18 30|rhombotin gene
P02036066A0000|57 90|hemoglobin polyoxyethylene conjugate
P02038326A0538|3 18|gcd2-503 mutation
P02038326A0538|134 168|general translation initiation factor 2
P02038326A0538|170 179|eIF-2 alpha
P02041088A1053|30 33|DR60
P02041088A1053|109 144|chloramphenicol acetyltransferase gene
P02044950A0258|45 54|U6 RNA genes
P02045366A1149|45 60|KlaB polypeptides
P02045366A1149|92 106|KlaC polypeptide
P02045366A1149|38 41|KlaA
P02045524A0000|166 186|holding end-of-phase II
P02046202A0625|26 28|IgA
P02052544A0641|15 36|DNA polymerase II complex
P02052544A0641|100 121|DNA polymerase II complex
P02052544A0641|130 133|DPB2
P02052592A0000|239 250|interleukin 1
P02052592A0000|260 283|tumor necrosis factor alpha
P02052592A0000|285 293|TNF-alpha
P02052592A0000|252 255|IL-1
P02052592A0000|388 393|GM-CSF
P02052592A0000|341 386|granulocyte-macrophage colony-stimulating factor
P02061282A0447|120 128|pilin gene
P02061333A0784|42 49|acvA gene
P02061333A1359|102 117|thioesterase site
P02062116A0688|11 26|monoamine oxidase
P02065022A0747|83 85|dbl
P02068085A1273|76 105|Mlu I upstream activation sequence
P02069873X0000|26 41|vav protooncogene
P02076620A0548|12 27|plasma fibrinogen
P02076816T0000|82 95|IME1 transcript
P02081463A0110|28 35|Spec gene
P02081463A0110|63 67|Spec1
P02083253A1512|42 57|TCR alpha enhancer
P02083253A1512|139 148|TCF-1 alpha
P02083253A1512|3 23|TCF-1 alpha binding site
P02093741A0211|112 118|MAXITAB
P02094257T0000|17 34|adenosine deaminase
P02102823A0492|57 96|neomycin phosphotransferase II reporter gene
P02102831A1282|29 38|actin genes
P02105497A1092|86 93|BiP genes
P02105497A1092|48 60|HSP70 proteins
P02105497A1092|137 146|HSP70 genes
P02107073A0584|31 34|STE4
P02107073A0584|38 50|STE18 proteins
P02109544A0000|132 148|leukocyte esterase
P02110145T0000|124 160|CfiA and Bacillus cereus beta-lactamase II
P02110148A0423|242 258|IF2 structural gene
P02110148A0423|89 108|B. subtilis IF2 protein
P02110148A0423|193 222|2.76-kb ClaI chromosomal fragment
P02111015A0574|134 138|IRF-1
P02111015A0574|115 132|IFN response factors
P02111015A0574|142 146|IRF-2
P02113174A0064|56 77|transcription factor Sp1
P02113174A0957|0 6|Krox-24
P02115115A1053|66 72|CAR1 URS
P02115121A0000|132 160|dihydrolipoyl transsuccinylase
P02115121A0000|67 98|alpha-ketoglutarate dehydrogenase
P02115122A0562|80 84|c-Fos
P02115572A1323|41 51|psi V lambda 1
P02115572A1323|17 33|V lambda pseudogene
P02115572A1323|69 82|U266 lambda gene
P02115889A0436|40 48|human gene
P02115889A0436|52 58|Gx alpha
P02116071A0000|172 174|IgE
P02116071A0000|322 324|IgG
P02116537A1237|58 60|AMK
P02118519A0516|104 128|nerve growth factor receptor
P02118525A0737|117 157|herpes simplex virus thymidine kinase promoter
P02118525A0737|36 46|CCK promoter
P02120707A0594|103 129|HLA-DRA X-box oligonucleotide
P02121371T0000|3 10|NF1 locus
P02121371T0000|47 77|mammalian GAP and yeast IRA proteins
P02122454A1042|71 87|lambda I light chain
P02123029A0478|16 48|Raja immunoglobulin heavy chain genes
P02123029A0478|107 112|Raja VH
P02123300T0000|0 57|Human recombinant DNA-derived antihemophilic factor (factor VIII
P02123300T0000|75 107|hemophilia A. recombinant Factor VIII
P02123466A0272|32 43|AP-4 HLH motif
P02123467A0811|89 91|Sp1
P02123467A0811|178 180|Sp1
P02123467A0811|184 188|MyoD1
P02123820A0000|19 34|monoamine oxidase
P02123875A0223|96 110|signal peptidase
P02123877A1452|156 174|serum response factor
P02123877A1452|203 221|immediate-early gene
P02123877A1452|96 100|fra-1
P02123877A1452|29 38|egr-1 mRNAs
P02124710A0193|30 34|c-fos
P02124710A0193|38 56|c-jun protooncogenes
P02124710A1624|72 97|type alpha I collagen promoter
P02124710A1624|59 66|AP-1 site
P02138707A0198|132 184|murine class II major histocompatibility complex A alpha gene
P02138707A0198|67 83|murine protein mXBP
P02138915A1060|3 9|p36 gene
P02139891A0532|130 138|EIIF sites
P02142240A0506|79 95|estrogen receptors
P02143186A0867|43 46|AHA2
P02143186A0867|38 41|AHA3
P02143186A1306|33 40|AHA2 mRNA
P02144610A1306|0 18|TCR alpha and beta gene
P02144610A1306|87 99|T beta 2 element
P02144610A1306|174 187|T alpha 1 element
P02144610A1306|257 286|human and murine TCR beta promoters
P02144610A1306|113 152|cyclic AMP response element-binding proteins
P02144610A1306|193 213|human TCR alpha enhancer
P02145268A0746|143 152|COL3A1 gene
P02145268A0746|87 104|type I collagen genes
P02145268A1454|70 89|mammalian collagenase
P02146266A0000|45 93|entire Neurospora crassa CuZn superoxide dismutase gene
P02146266A0000|111 115|sod-1
P02146266A0000|0 33|A 4.8-kilobase BamHI-HindIII fragment
P02147223A1047|77 79|E1a
P02147223A1047|22 39|human c-fos promoter
P02147422A0000|44 66|human U1-70K snRNP protein
P02148799A0000|3 9|nmr gene
P02149570T0000|31 38|protein S
P02153243A0965|76 103|fibroblast growth factor family
P02153243A0965|47 55|int-2 gene
P02153683A1579|55 61|ankyrin
P02154467A0709|3 12|PC2 protein
P02154467A0709|77 97|human furin gene product
P02154474A1504|77 84|P-450scc
P02154599T0000|115 118|AP-1
P02154602A0092|24 37|mouse Mx protein
P02154686A0185|97 114|beta-galactosidase
P02156828A0164|29 35|destrin
P02156828A0164|91 97|cofilin
P02157141A0923|16 23|T antigen
P02157141A0923|39 52|topoisomerase I
P02157882T0000|46 70|abl and murine v-abl proteins
P02158927A0000|96 99|CYC1
P02158927A0000|101 104|UTR1
P02158927A0000|111 114|OSM1
P02158927A0000|106 109|UTR3
P02162467A0311|10 13|cytR
P02162467A0311|51 61|CytR protein
P02162754A0339|68 82|insulin receptor
P02163347A0472|133 149|human ets-1 protein
P02163382A0169|110 117|Tn3HoHo1
P02163382A0169|144 152|lac operon
P02163394T0000|24 34|sacPA operon
P02164585A0416|3 13|TraD protein
P02164585A0814|43 49|tra gene
P02164588A0266|160 173|HN glycoprotein
P02164604A0399|43 63|E2 transactivation gene
P02164604A1574|147 148|E2
P02164604A1574|25 34|E2 proteins
P02164637A0515|15 22|IRA2 gene
P02164637A0515|150 160|cdc25 mutant
P02165589A0000|111 151|steroid/thyroid hormone receptor superfamily
P02166040A0385|205 238|amino-3-glycosyl phosphotransferase
P02166040A0385|246 277|chloramphenicol acetyltransferase
P02166040A0385|114 149|P-enolypyruvate carboxykinase promoter
P02166040A0385|38 46|PEPCK gene
P02166040A0385|164 166|-68
P02166040A0385|462 494|chloroamphenicol acetyltransferase
P02167321T0000|94 141|human tissue-type plasminogen activator gene promoter
P02167467T0000|3 32|26S rRNA binding ribosomal protein
P02167467T0000|45 63|bacterial protein L11
P02174427A1574|94 137|wild-type ubiquinol-cytochrome c oxidoreductase
P02174861A0736|12 15|irgA
P02174974A0000|113 127|xylR gene product
P02175433A0575|31 46|beta A-globin gene
P02176152A0896|114 126|HSV tk promoter
P02176152A0896|90 103|AP1 binding site
P02176209A0954|25 28|NF-Y
P02176822A0000|0 27|Multifunctional protein kinase
P02176822A0000|48 63|ATP-citrate lyase
P02176822A0000|29 32|MFPK
P02176822A0000|159 174|glycogen synthase
P02179188A1223|84 97|cytochalasin B.
P02182618A0168|88 90|CAT
P02182618A0168|55 86|chloramphenicol acetyltransferase
P02183467A0668|139 141|rev
P02185140A0000|43 85|cytochrome P450 lanosterol 14 alpha-demethylase
P02185140A0000|205 209|pADC1
P02185140A0000|3 33|Saccharomyces cerevisiae 14DM gene
P02187871T0000|47 84|protein synthesis initiation factor eIF-4D
P02187871T0000|3 11|ANB1 locus
P02188096A0955|46 50|c-myb
P02188096A0955|70 74|c-myb
P02188168A0000|0 23|Serum beta 2-microglobulin
P02188168A0000|98 116|anti HIV-1 antibodies
P02195715T0000|19 26|protein C
P02196450A0870|80 82|QBP
P02196450A0870|169 171|QBP
P02196565A0606|75 78|RAP1
P02196565A0606|239 251|gal11 mutation
P02196565A0606|36 73|repressor/activator site binding protein 1
P02196565A0606|206 218|GRFI/RAP1/TUF
P02196565A0606|5 28|general regulatory factor I
P02196565A0606|138 145|MAT alpha
P02196565A0606|174 177|PYK1
P02196565A0606|30 33|GRFI
P02196565T0000|0 16|Yeast Gal11 protein
P02196565T0000|92 95|Gal4
P02196565T0000|99 187|general regulatory factor I/repressor/activator site binding protein 1/translation upstream factor
P02198259A0685|41 44|repA
P02200315A0278|85 94|A60 antigen
P02200315A0278|6 16|IgM antibody
P02200736A1003|71 74|MLTF
P02200736A1003|64 67|AP-4
P02201901A0229|59 69|SSN6 protein
P02201905A1004|31 41|ABFI protein
P02201905A1004|50 60|RAP1 protein
P02204029A0184|0 4|RNase
P02204621T0000|45 77|altered tRNA nucleotidyltransferase
P02204621T0000|105 130|tRNA nucleotidyltransferase
P02204623A0000|27 41|insulin receptor
P02204625A1130|73 79|insulin
P02204810A1080|12 14|GA2
P02206858A0000|0 17|Homozygous protein C
P02209243A0237|18 29|serum albumin
P02209540A1362|14 17|Ets1
P02209540A1362|21 24|Ets2
P02209605A0510|21 28|MSAS gene
P02209811T0000|0 20|Horseradish peroxidase
P02217741T0001|47 53|insulin
P02223773A0000|0 34|Chick brain actin depolymerizing factor
P02223773A0000|88 100|actin monomers
P02227438A0492|83 92|rat ODC mRNA
P02229068A0156|55 62|env genes
P02229068A0156|151 160|rev protein
P02229282A0454|27 29|TNF
P02233680A1115|85 106|HaG3-A helianthinin gene
P02233715A0914|61 71|IL-6 TATA box
P02233729A1065|148 162|Dhfr transcripts
P02233729A1065|90 104|Dhfr transcripts
P02236002A0958|112 130|chicken TCR beta cDNAs
P02236064A1178|0 7|S6 kinase
P02237431A0000|15 32|human T cell receptor
P02237431A0000|34 46|TCR) alpha gene
P02237431A0000|134 143|C alpha gene
P02237431A0833|69 75|T alpha 2
P02237431A0833|3 18|Ets-1 binding site
P02243093A0000|66 68|Tax
P02243386A0113|68 72|DIssF
P02247069A0261|3 10|TUP1 gene
P02247072A0794|3 25|SUP44 suppressor mutation
P02247081A0223|101 109|VPS34 gene
P02247081A0223|29 38|VPS34 locus
